Date,Description,Amount,Type
01/10/2025,"NEFT CR-SALARY-EMPLOYER",50000,income
03/10/2025,"UPI-LANDLORD MONTHLY RENT",18000,expense
04/10/2025,"POS-CROMA ELECTRONICS",1970,expense
04/10/2025,"POS-IOCL FUEL STATION",325,expense
05/10/2025,"PERSONAL LOAN EMI-BAJAJ",15000,expense
05/10/2025,"POS-RELIANCE FRESH",1284,expense
05/10/2025,"UPI-AUTO RICKSHAW FARE",64,expense
05/10/2025,"UPI-ZOMATO FOOD",367,expense
07/10/2025,"UPI-IGL PIPED GAS",1804,expense
07/10/2025,"UPI-JIO FIBER BROADBAND",999,expense
11/10/2025,"POS-CROMA ELECTRONICS",1845,expense
12/10/2025,"UPI-BLINKIT GROCERIES",1966,expense
12/10/2025,"UPI-RAMESH KIRANA STORE",226,expense
12/10/2025,"UPI-NCMC METRO RECHARGE",180,expense
13/10/2025,"POS-LIFESTYLE STORES",1877,expense
14/10/2025,"UPI-STREET FOOD VENDOR",51,expense
15/10/2025,"POS-LIFESTYLE STORES",1215,expense
15/10/2025,"POS-IOCL FUEL STATION",306,expense
15/10/2025,"UPI-STEAM GAMING",1179,expense
16/10/2025,"UPI-STREET FOOD VENDOR",250,expense
16/10/2025,"UPI-FLIPKART INTERNET",1850,expense
16/10/2025,"POS-IRCTC TICKET BOOKING",168,expense
18/10/2025,"UPI-LOCAL DAIRY SHOP",44,expense
18/10/2025,"UPI-ZOMATO FOOD",516,expense
19/10/2025,"UPI-ZEPTO MINTS",1208,expense
19/10/2025,"UPI-STREET FOOD VENDOR",151,expense
19/10/2025,"UPI-CAFE COFFEE DAY",647,expense
19/10/2025,"POS-PVR CINEMAS MULTIPLEX",1283,expense
20/10/2025,"UPI-AMAZON SELLER SERVICES",1112,expense
21/10/2025,"UPI-LOCAL DAIRY SHOP",189,expense
22/10/2025,"POS-MCDONALDS",385,expense
22/10/2025,"UPI-AMAZON SELLER SERVICES",1149,expense
22/10/2025,"UPI-SPOTIFY PREMIUM",446,expense
23/10/2025,"UPI-LOCAL DAIRY SHOP",188,expense
23/10/2025,"POS-CROMA ELECTRONICS",1935,expense
24/10/2025,"UPI-FLIPKART INTERNET",1270,expense
24/10/2025,"POS-IOCL FUEL STATION",315,expense
26/10/2025,"POS-DMART RETAIL",1563,expense
26/10/2025,"UPI-FASTAG TOLL RECHARGE",276,expense
27/10/2025,"UPI-AUTO RICKSHAW FARE",83,expense
27/10/2025,"POS-MCDONALDS",522,expense
28/10/2025,"UPI-CHAI WALA STALL",202,expense
28/10/2025,"DR-MIN BALANCE PENALTY",198,expense
29/10/2025,"POS-IOCL FUEL STATION",316,expense
30/10/2025,"UPI-AUTO RICKSHAW FARE",21,expense
30/10/2025,"POS-INDIGO AIRLINES",334,expense
31/10/2025,"UPI-CHAI WALA STALL",139,expense
31/10/2025,"POS-PVR CINEMAS MULTIPLEX",456,expense
01/11/2025,"NEFT CR-SALARY-EMPLOYER",50000,income
01/11/2025,"UPI-ZOMATO FOOD",498,expense
01/11/2025,"UPI-BOOKMYSHOW TICKETS",988,expense
02/11/2025,"UPI-ZEPTO MINTS",1771,expense
03/11/2025,"IMPS-RENT PAYMENT TO OWNER",18000,expense
