Date,Description,Amount,Type
01/10/2025,"NEFT CR-SALARY-EMPLOYER",150000,income
03/10/2025,"NEFT-SOCIETY MAINTENANCE",30000,expense
05/10/2025,"UPI-BLINKIT GROCERIES",2205,expense
05/10/2025,"UPI-LOCAL DAIRY SHOP",54,expense
05/10/2025,"UPI-STEAM GAMING",492,expense
06/10/2025,"UPI-PAN SHOP TUCK",204,expense
07/10/2025,"UPI-WATER BILL PAYMENT",3636,expense
07/10/2025,"UPI-JIO FIBER BROADBAND",999,expense
07/10/2025,"POS-ZARA APPARELS",2790,expense
10/10/2025,"UPI-COIN BY ZERODHA",40000,investment
12/10/2025,"UPI-ZEPTO MINTS",2588,expense
12/10/2025,"UPI-UBER RIDE",1133,expense
13/10/2025,"UPI-AUTO RICKSHAW FARE",231,expense
14/10/2025,"UPI-MYNTRA DESIGNS",3648,expense
15/10/2025,"UPI-STAR HEALTH INSURANCE",3000,expense
16/10/2025,"UPI-DR LAL PATHLABS",2978,expense
17/10/2025,"UPI-PRACTO CONSULTATION",2713,expense
18/10/2025,"UPI-AMAZON SELLER SERVICES",1514,expense
19/10/2025,"UPI-BIGBASKET",2958,expense
19/10/2025,"POS-CROMA ELECTRONICS",3050,expense
19/10/2025,"UPI-1MG ONLINE MEDS",1601,expense
20/10/2025,"POS-COLLEGE TUITION",5000,expense
20/10/2025,"UPI-OLA CABS",987,expense
21/10/2025,"UPI-FLIPKART INTERNET",3531,expense
24/10/2025,"UPI-UBER RIDE",1498,expense
25/10/2025,"UPI-CAFE COFFEE DAY",1890,expense
26/10/2025,"UPI-BLINKIT GROCERIES",2596,expense
26/10/2025,"UPI-ZOMATO FOOD",1457,expense
26/10/2025,"UPI-FASTAG TOLL RECHARGE",1134,expense
27/10/2025,"AUTO DEBIT-RECURRING DEPOSIT SBI",4753,investment
28/10/2025,"POS-ZARA APPARELS",3714,expense
28/10/2025,"POS-IRCTC TICKET BOOKING",671,expense
28/10/2025,"DR-SMS ALERT CHARGES",198,expense
29/10/2025,"UPI-PAN SHOP TUCK",54,expense
30/10/2025,"UPI-CAFE COFFEE DAY",1069,expense
01/11/2025,"NEFT CR-SALARY-EMPLOYER",150000,income
01/11/2025,"POS-MCDONALDS",884,expense
02/11/2025,"UPI-BIGBASKET",3760,expense
03/11/2025,"NEFT-SOCIETY MAINTENANCE",30000,expense
03/11/2025,"UPI-AMAZON SELLER SERVICES",1823,expense
04/11/2025,"UPI-SWIGGY TECHNOLOGIES",822,expense
07/11/2025,"UPI-IGL PIPED GAS",3952,expense
07/11/2025,"UPI-JIO FIBER BROADBAND",999,expense
07/11/2025,"POS-BPCL PETROL PUMP",1259,expense
09/11/2025,"POS-DMART RETAIL",2268,expense
09/11/2025,"UPI-CAFE COFFEE DAY",1137,expense
09/11/2025,"UPI-AMAZON SELLER SERVICES",2707,expense
09/11/2025,"POS-INDIGO AIRLINES",695,expense
10/11/2025,"UPI-GROWW MUTUAL FUNDS",40000,investment
10/11/2025,"UPI-SWIGGY TECHNOLOGIES",1817,expense
10/11/2025,"UPI-OLA CABS",649,expense
15/11/2025,"NEFT-CARE HEALTH POLICY",3000,expense
16/11/2025,"UPI-ZEPTO MINTS",2577,expense
18/11/2025,"ATM WDL-1234 SBI-NEW DELHI",239,expense
19/11/2025,"POS-BPCL PETROL PUMP",693,expense
20/11/2025,"NEFT-SCHOOL FEES PAYMENT",5000,expense
20/11/2025,"UPI-STREET FOOD VENDOR",29,expense
22/11/2025,"UPI-FLIPKART INTERNET",1532,expense
23/11/2025,"POS-RELIANCE FRESH",3131,expense
23/11/2025,"POS-LIFESTYLE STORES",2054,expense
23/11/2025,"POS-BPCL PETROL PUMP",1327,expense
25/11/2025,"UPI-NETFLIX SUBSCRIPTION",640,expense
27/11/2025,"UPI-LOCAL DAIRY SHOP",80,expense
27/11/2025,"UPI-ZOMATO FOOD",1738,expense
27/11/2025,"AUTO DEBIT-RECURRING DEPOSIT SBI",4803,investment
28/11/2025,"UPI-MYNTRA DESIGNS",2911,expense
29/11/2025,"POS-CROMA ELECTRONICS",3942,expense
30/11/2025,"UPI-BIGBASKET",2017,expense
30/11/2025,"UPI-STREET FOOD VENDOR",125,expense
30/11/2025,"UPI-NCMC METRO RECHARGE",964,expense
01/12/2025,"NEFT CR-SALARY-EMPLOYER",150000,income
01/12/2025,"UPI-CAFE COFFEE DAY",1168,expense
01/12/2025,"POS-BPCL PETROL PUMP",1275,expense
02/12/2025,"UPI-FLIPKART INTERNET",1877,expense
02/12/2025,"POS-INDIGO AIRLINES",814,expense
